,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Avarua,4,CK,1580319106,94,-21.21,-159.78,75.2,11.25
1,Jalu,0,LY,1580319229,38,29.03,21.55,60.17,4.0
2,Pevek,100,RU,1580319229,98,69.7,170.31,-18.18,10.2
3,Kruisfontein,87,ZA,1580319230,83,-34.0,24.73,64.35,9.44
4,Ribeira Grande,75,PT,1580319230,93,38.52,-28.7,62.6,11.41
5,Bluff,66,NZ,1580319230,69,-46.6,168.33,53.01,3.0
6,Srednekolymsk,6,RU,1580319230,83,67.45,153.68,-27.62,5.68
7,Mataura,3,NZ,1580319230,69,-46.19,168.86,53.01,3.0
8,Hermanus,47,ZA,1580319230,69,-34.42,19.23,68.0,8.01
9,Albany,40,US,1580319023,50,42.6,-73.97,35.01,5.82
10,Rikitea,91,PF,1580319231,78,-23.12,-134.97,79.63,9.08
11,Norman Wells,90,CA,1580319231,75,65.28,-126.83,-20.2,1.79
12,Turaif,75,SA,1580319004,76,31.67,38.66,51.8,13.87
13,Nara,20,JP,1580319232,75,34.69,135.8,46.4,13.87
14,Punta Arenas,75,CL,1580319232,62,-53.15,-70.92,51.8,14.99
15,Cardston,40,CA,1580319232,64,49.2,-113.3,37.4,10.29
16,Tezu,44,IN,1580319232,44,27.92,96.17,54.81,2.71
17,Tasiilaq,100,GL,1580319232,79,65.61,-37.64,28.4,34.45
18,Troitskoye,100,RU,1580319233,95,52.98,84.68,-2.92,8.39
19,Thompson,90,CA,1580318938,85,55.74,-97.86,10.4,6.93
20,Busselton,80,AU,1580319233,60,-33.65,115.33,66.0,8.72
21,Geraldton,75,AU,1580319039,73,-28.77,114.6,71.6,8.05
22,Huilong,0,CN,1580319234,71,31.81,121.66,41.0,10.69
23,Ushuaia,40,AR,1580319212,66,-54.8,-68.3,51.8,25.28
24,Touros,20,BR,1580319234,55,-5.2,-35.46,89.6,17.22
25,Terme,67,TR,1580319234,50,41.21,36.97,53.6,2.24
26,New Norfolk,0,AU,1580319234,33,-42.78,147.06,75.99,17.22
27,Suleja,22,NG,1580319235,22,9.18,7.18,91.4,2.24
28,Zaysan,33,KZ,1580319235,89,47.47,84.87,-1.37,0.96
29,Buala,100,SB,1580319235,80,-8.14,159.59,79.99,5.19
30,Vaini,40,TO,1580319235,100,-21.2,-175.2,75.2,5.82
31,Cherskiy,100,RU,1580319235,97,68.75,161.3,-27.4,4.18
32,Hithadhoo,100,MV,1580319236,76,-0.6,73.08,81.99,8.81
33,Mar del Plata,84,AR,1580319236,52,-38.0,-57.56,69.01,16.11
34,Port Alfred,71,ZA,1580319236,85,-33.59,26.89,70.0,1.99
35,Kidal,42,ML,1580319236,10,18.44,1.41,77.05,3.67
36,Youkounkoun,28,GN,1580319236,3,12.53,-13.13,98.8,4.43
37,Lorengau,98,PG,1580319237,82,-2.02,147.27,82.26,9.17
38,Porto,75,PT,1580319130,100,41.15,-8.61,61.0,16.11
39,Inhambane,0,MZ,1580319237,65,-23.86,35.38,78.8,4.7
40,Castro,47,BR,1580319066,44,-24.79,-50.01,84.92,3.06
41,Birin,13,NP,1580319237,87,26.89,88.07,40.73,3.69
42,Montevideo,75,UY,1580319035,61,-34.83,-56.17,82.4,20.8
43,Weihe,0,CN,1580319238,67,33.0,105.32,32.18,1.66
44,Saint George,1,US,1580319022,69,37.1,-113.58,42.01,6.26
45,Arraial do Cabo,40,BR,1580319238,70,-22.97,-42.03,87.8,11.41
46,Novyy Urengoy,95,RU,1580319238,96,66.08,76.63,-7.04,12.17
47,Bengkulu,100,ID,1580319239,73,-3.8,102.27,73.65,3.24
48,Vestmannaeyjar,0,IS,1580319239,68,63.44,-20.27,30.2,2.24
49,Mirzapur,20,IN,1580319239,82,25.15,82.58,66.2,2.24
50,Kapaa,1,US,1580319021,88,22.08,-159.32,64.4,8.05
51,Katsuura,75,JP,1580319239,71,35.13,140.3,53.6,6.93
52,Qaanaaq,100,GL,1580319240,96,77.48,-69.36,-20.52,3.27
53,Christchurch,100,NZ,1580319091,76,-43.53,172.63,60.01,6.93
54,Berlevag,31,NO,1580319240,67,70.86,29.09,17.6,4.7
55,Kaitangata,1,NZ,1580319240,61,-46.28,169.85,53.01,8.01
56,Coahuayana Viejo,5,MX,1580319240,60,18.73,-103.68,69.8,6.04
57,Shahrud,100,IR,1580319241,61,36.42,54.98,30.16,5.39
58,Porto-Novo,0,BJ,1580319241,79,6.5,2.6,86.0,8.05
59,Benguela,100,AO,1580319047,69,-12.58,13.41,80.46,3.83
60,Khatanga,100,RU,1580319241,98,71.97,102.5,-12.98,5.17
61,Bethel,1,US,1580319242,42,41.37,-73.41,39.99,11.41
62,Saskylakh,100,RU,1580319242,98,71.92,114.08,-13.74,2.53
63,Jamestown,90,US,1580319082,74,42.1,-79.24,30.99,3.36
64,Butaritari,92,KI,1580319242,73,3.07,172.79,82.6,2.48
65,Cape Town,20,ZA,1580319002,64,-33.93,18.42,75.99,24.16
66,Barmer,0,IN,1580319243,30,25.75,71.38,62.24,2.39
67,Fare,96,PF,1580319243,74,-16.7,-151.02,82.85,10.11
68,Skowhegan,1,US,1580319243,42,44.77,-69.72,32.0,12.75
69,Farmington,1,US,1580319181,58,36.73,-108.22,36.0,4.7
70,Hobart,0,AU,1580319032,33,-42.88,147.33,75.99,17.22
71,San Jose,75,US,1580319059,87,37.34,-121.89,54.0,5.82
72,Port Macquarie,75,AU,1580319244,88,-31.43,152.92,75.2,6.93
73,East London,75,ZA,1580319245,94,-33.02,27.91,69.8,9.17
74,Leningradskiy,100,RU,1580319245,94,69.38,178.42,-12.62,14.07
75,Sorland,100,NO,1580319245,74,67.67,12.69,35.6,19.46
76,Igarka,96,RU,1580319245,98,67.47,86.58,-4.2,4.32
77,Palana,100,RU,1580319245,95,59.12,159.97,11.43,7.94
78,Sao Filipe,8,CV,1580319246,72,14.9,-24.5,71.98,15.97
79,Kodiak,100,US,1580319246,79,57.79,-152.41,23.0,18.34
80,Mayo,40,US,1580319246,48,38.89,-76.51,44.6,5.82
81,Leh,100,IN,1580319246,77,34.17,77.58,-4.58,4.45
82,Brewster,1,US,1580319246,42,41.4,-73.62,39.2,11.41
83,Tiksi,100,RU,1580319247,93,71.69,128.87,-13.74,3.76
84,Yuncheng,0,CN,1580319247,53,35.02,110.99,32.83,4.52
85,Tigre,75,AR,1580319247,73,-34.43,-58.58,82.0,11.41
86,Adrar,8,MR,1580319247,14,20.5,-10.07,81.93,10.47
87,Faanui,98,PF,1580319247,77,-16.48,-151.75,81.64,7.45
88,Saldanha,47,ZA,1580319248,56,-33.01,17.94,71.6,16.11
89,Tommot,44,RU,1580319248,82,58.96,126.29,-6.43,3.04
90,Buin,20,CL,1580319248,39,-33.73,-70.75,80.6,6.93
91,Banda Aceh,100,ID,1580319016,87,5.56,95.32,71.91,3.44
